state_id,county_id,county_name,pop_under5,pop_over65,nativity_mex,households_under18,hh_size,poverty_acs,med_hhinc_acs,owner_occ_hu,renters_acs,vacancy_rental,vehicles_no,med_rent_pct,health_uninsured,internet_no_comp
36,045,Jefferson County,4353,1074,297,13862,43046,15012,54726,43046,19066,1905,675,19066,1148,37093
36,047,Kings County,96187,22024,44196,291492,972314,490525,63973,972314,677234,22420,81485,677234,13356,807175
36,049,Lewis County,799,336,90,3032,10398,3472,56192,10398,1991,191,210,1991,270,8429
36,051,Livingston County,1379,740,134,5929,24496,7233,60248,24496,5813,219,386,5813,392,20807
36,053,Madison County,1804,819,1,7083,25959,5568,61176,25959,5594,225,588,5594,641,21552
36,055,Monroe County,20732,7736,539,83084,305210,101065,62087,305210,111891,7617,5265,111891,2616,263027
36,057,Montgomery County,1547,718,102,5359,19621,8619,50146,19621,6380,253,743,6380,1039,15437
36,059,Nassau County,38036,16120,4199,158306,449967,72203,120036,449967,84915,3725,13026,84915,7056,409672
36,061,New York County,39216,16043,20404,136007,758720,246300,89812,758720,576213,28975,109400,576213,5014,661358
36,063,Niagara County,5480,2554,171,23495,90022,25647,57252,90022,25473,2965,2082,25473,741,74303
36,065,Oneida County,6686,2510,168,25605,90675,30944,59113,90675,28357,2102,2221,28357,1461,76315
36,067,Onondaga County,13396,5120,383,51062,187349,61398,62668,187349,65447,6069,3951,65447,2001,154486
36,069,Ontario County,2716,1563,351,12997,45711,9619,64795,45711,12474,793,697,12474,340,39636
36,071,Orange County,13011,3724,6934,47000,130428,42355,80816,130428,41975,1677,2991,41975,1914,109886
36,073,Orleans County,998,460,244,4874,16634,5223,52958,16634,4143,199,465,4143,416,13652
36,075,Oswego County,3349,1478,60,14588,46597,18822,59070,46597,12685,590,968,12685,492,40548
36,077,Otsego County,1304,916,135,5732,23768,7280,56171,23768,6611,608,563,6611,583,19318
36,079,Putnam County,2201,1349,311,11554,34915,5440,107246,34915,6118,187,678,6118,653,32366
36,081,Queens County,71984,23679,46283,235869,783362,260191,72028,783362,429987,12621,66068,429987,14311,670641
36,083,Rensselaer County,4227,1795,320,16903,65455,16546,72510,65455,24255,1301,1009,24255,688,56753
36,085,Richmond County,13971,5160,8095,57189,167160,50804,85381,167160,52185,3587,6551,52185,2138,140739
36,087,Rockland County,13371,3074,1599,37638,101167,46680,94840,101167,32464,794,1829,32464,2243,85632
36,089,St. Lawrence County,2944,1228,88,11591,41925,16977,52071,41925,11538,533,1327,11538,2527,34296
36,091,Saratoga County,5850,2981,245,27172,95898,13393,85224,95898,26770,1757,1640,26770,621,86310
36,093,Schenectady County,4723,1394,214,14774,57479,17177,66488,57479,20704,1168,1019,20704,529,49495
36,095,Schoharie County,670,481,9,3287,12780,3471,58926,12780,3150,195,328,3150,190,9925
36,097,Schuyler County,474,243,4,1804,7402,2593,53291,7402,1865,79,183,1865,120,6008
36,099,Seneca County,962,437,17,3410,13784,3761,54865,13784,3773,81,398,3773,904,11260
36,101,Steuben County,2721,1564,125,11428,40099,11980,55349,40099,10841,611,960,10841,1379,33036
36,103,Suffolk County,40168,15193,5442,160818,495667,93999,105362,495667,91960,4558,13997,91960,8004,441513
36,105,Sullivan County,2220,1089,487,8527,28762,9698,60433,28762,8782,799,636,8782,977,23738
36,107,Tioga County,1275,677,22,5519,20643,4742,61965,20643,4572,395,425,4572,95,17739
36,109,Tompkins County,2164,957,134,8954,40817,15499,61361,40817,18792,683,507,18792,453,35153
36,111,Ulster County,4037,2438,1340,17364,70088,23328,65306,70088,21980,891,1387,21980,660,62048
36,113,Warren County,1421,1111,22,6317,29034,5361,64658,29034,8518,663,764,8518,183,24504
36,115,Washington County,1380,929,79,6310,24054,6333,59613,24054,6560,438,676,6560,427,19650
36,117,Wayne County,2480,1205,353,10461,37281,9979,62003,37281,8167,360,854,8167,1266,31494
36,119,Westchester County,27753,9036,20433,116543,353485,79242,99489,353485,136546,4417,10307,136546,5118,312438
36,121,Wyoming County,945,646,350,4339,16055,3262,58746,16055,3759,39,370,3759,195,13006
36,123,Yates County,770,289,69,2287,8901,3218,55307,8901,2096,212,619,2096,1857,6638
37,001,Alamance County,4945,1867,6441,20070,65455,24893,51580,65455,21917,1245,1182,21917,2012,53177
37,003,Alexander County,885,535,765,4340,14049,4403,51329,14049,2817,148,263,2817,272,11091
37,005,Alleghany County,232,122,253,1244,5001,2482,37158,5001,1227,40,180,1227,30,3884
37,007,Anson County,611,360,346,2451,9803,4264,39799,9803,3247,92,340,3247,46,7737
37,009,Ashe County,584,430,463,2681,11885,3959,43030,11885,2492,158,273,2492,168,8973
37,011,Avery County,288,203,229,1461,6569,1843,42695,6569,1464,492,165,1464,207,4940
37,013,Beaufort County,1131,576,902,5161,20219,8263,48051,20219,5619,308,409,5619,561,14964
37,015,Bertie County,326,198,29,1928,8008,4424,35042,8008,2317,116,364,2317,152,4898
37,017,Bladen County,1165,527,980,3762,13394,7982,37188,13394,3728,412,586,3728,373,10334
37,019,Brunswick County,2617,2727,1052,11306,59416,15137,59763,59416,11326,2013,738,11326,1113,52355
37,021,Buncombe County,6577,3487,4191,24289,105177,29057,55032,105177,38546,2941,1523,38546,2779,86207
37,023,Burke County,2182,1030,638,9318,35664,16237,43915,35664,8738,499,743,8738,549,26850
37,025,Cabarrus County,6941,1597,4489,27625,72843,20196,71177,72843,19683,2354,1150,19683,2304,64618
37,027,Caldwell County,2138,1189,723,9800,32798,11338,46094,32798,8741,492,827,8741,782,26543
37,029,Camden County,271,214,7,1592,3912,677,63834,3912,902,38,79,902,50,3517
37,031,Carteret County,1426,1034,540,7117,30060,6260,57871,30060,8523,420,466,8523,845,26256
37,033,Caswell County,506,241,236,2362,8993,3453,47938,8993,2317,107,138,2317,298,6230
37,035,Catawba County,4503,1826,4529,19095,62940,19246,54690,62940,18332,1077,1316,18332,2717,52627
37,037,Chatham County,1758,986,2615,8192,29904,7736,69799,29904,6899,540,514,6899,778,24166
37,039,Cherokee County,578,324,204,2449,12546,5004,40793,12546,2316,87,379,2316,401,9491
37,041,Chowan County,369,166,101,1610,6389,2687,44050,6389,2227,0,153,2227,26,4595
37,043,Clay County,84,60,235,955,5300,1503,42160,5300,1434,37,118,1434,38,3998
37,045,Cleveland County,2776,1442,851,10420,36089,18306,43512,36089,11419,807,867,11419,1239,25379
37,047,Columbus County,1481,654,896,6266,21545,11619,38487,21545,6014,462,507,6014,550,15377
37,049,Craven County,3291,940,1016,12241,41002,13874,53894,41002,14356,1112,652,14356,1760,33370
37,051,Cumberland County,12830,2741,2152,41014,127532,59484,48177,127532,61894,4664,1870,61894,3534,109278
37,053,Currituck County,757,417,123,3355,10868,2218,73741,10868,1755,1075,224,1755,820,9155
37,055,Dare County,884,598,626,3772,15830,2998,65420,15830,3768,6486,148,3768,687,14652
37,057,Davidson County,4617,2077,3252,20898,67555,24925,50454,67555,18913,1429,1075,18913,1981,55768
37,059,Davie County,1053,604,1095,4913,16303,5799,62028,16303,2919,138,481,2919,754,14261
37,061,Duplin County,1876,830,3657,6380,21437,10613,43422,21437,6022,218,403,6022,1614,15260
37,063,Durham County,10402,2812,8739,35424,130128,40972,62812,130128,57983,3490,1539,57983,5064,115247
37,065,Edgecombe County,1505,682,691,6445,20800,11446,40489,20800,7936,511,589,7936,381,13844
37,067,Forsyth County,11486,3837,12214,43557,148890,58180,53583,148890,56144,6175,1619,56144,4273,125066
37,069,Franklin County,1923,607,1954,8141,25729,7592,58172,25729,6891,114,495,6891,783,21062
37,071,Gaston County,6788,2667,3781,26669,85286,29771,53474,85286,29001,2178,1799,29001,2827,70975
37,073,Gates County,128,216,0,1131,4690,1487,45871,4690,1059,18,108,1059,151,3469
37,075,Graham County,162,178,136,880,3521,1169,42207,3521,581,177,134,581,106,2428
37,077,Granville County,1503,734,1353,6859,21567,8042,56924,21567,5383,298,461,5383,763,18073
37,079,Greene County,607,227,1452,2337,7218,3929,43563,7218,2192,167,303,2192,405,5385
37,081,Guilford County,16030,5368,9961,64278,208234,78408,54794,208234,85275,6350,2510,85275,5370,169880
37,083,Halifax County,1326,842,254,6001,21061,12654,35904,21061,8076,419,529,8076,831,12244
37,085,Harnett County,5098,1148,3273,16489,46525,20694,54565,46525,15745,1354,970,15745,1450,37681
37,087,Haywood County,1537,817,436,6644,26891,7459,51548,26891,7344,255,445,7344,767,19717
37,089,Henderson County,2749,1781,3381,12158,49715,12038,58928,49715,12821,627,514,12821,1873,42180
37,091,Hertford County,495,325,274,2014,8903,4406,42588,8903,2970,327,201,2970,252,6288
37,093,Hoke County,2345,403,1536,6986,18448,9800,51140,18448,5906,393,341,5906,744,15343
37,095,Hyde County,190,112,287,726,2056,987,46667,2056,749,210,36,749,146,1347
37,097,Iredell County,5103,1982,3151,23371,68374,17360,62551,68374,19245,834,858,19245,2119,59585
37,099,Jackson County,981,479,773,3394,17008,7120,46820,17008,6181,343,336,6181,402,12364
37,101,Johnston County,6504,1953,6932,27083,71332,24572,61806,71332,18520,776,1064,18520,3157,57434
37,103,Jones County,224,108,109,1031,4069,2201,38324,4069,1048,96,109,1048,131,2629
37,105,Lee County,2037,475,3237,7350,22290,9766,52294,22290,7855,495,281,7855,736,16698
37,107,Lenoir County,1741,785,1481,6509,23494,12113,39923,23494,10135,585,486,10135,462,18003
37,109,Lincoln County,2345,1132,1576,10536,33621,10216,59592,33621,8135,377,590,8135,1023,28486
37,111,McDowell County,1036,562,1071,5402,18275,6887,47085,18275,4801,237,545,4801,346,14025
37,113,Macon County,917,451,852,3651,16062,5585,45703,16062,4354,155,455,4354,668,12095
37,115,Madison County,468,265,61,2012,8373,2942,46190,8373,2102,18,175,2102,341,6060
37,117,Martin County,642,352,148,2679,9622,4556,39909,9622,3251,244,247,3251,217,6934
37,119,Mecklenburg County,37269,8226,25077,132889,421950,117474,69240,421950,183956,13633,4222,183956,17875,380319
37,121,Mitchell County,365,273,279,1469,6402,1800,48841,6402,1304,102,157,1304,149,4871
37,123,Montgomery County,784,484,1479,2624,10265,4403,45147,10265,2744,253,231,2744,238,7296
37,125,Moore County,2981,1537,1634,10406,40575,10260,63324,40575,9396,698,601,9396,1358,34264
37,127,Nash County,2684,1028,1995,11329,37371,14531,49949,37371,13213,569,730,13213,1335,29686
37,129,New Hanover County,5735,2178,1573,23132,97998,32805,56689,97998,40786,2591,1391,40786,3428,85767
37,131,Northampton County,463,432,137,2076,8424,3773,38969,8424,2430,79,169,2430,290,4601
37,133,Onslow County,8674,1516,1228,25068,66131,21991,51560,66131,30273,2986,716,30273,1692,59333
37,135,Orange County,3307,1844,2453,15566,53222,16670,74803,53222,19272,1178,565,19272,1307,47616
37,137,Pamlico County,197,247,173,1127,5506,1850,48531,5506,1277,71,234,1277,67,4297
37,139,Pasquotank County,1384,547,338,4220,14785,4553,54439,14785,5641,500,348,5641,784,12094
37,141,Pender County,1932,553,1113,6881,22812,8493,60044,22812,4422,339,380,4422,608,18723
37,143,Perquimans County,337,244,32,1347,5886,1625,51036,5886,1299,32,75,1299,281,4582
37,145,Person County,1169,506,510,4381,16153,6353,57323,16153,3527,31,180,3527,405,13016
37,147,Pitt County,5244,1976,3348,21544,70683,35897,49337,70683,33469,2084,1244,33469,2011,59244
37,149,Polk County,325,420,392,1858,9252,2046,52125,9252,2257,156,141,2257,183,7311
37,151,Randolph County,4151,2049,6156,17854,56790,20714,48984,56790,15358,592,803,15358,1987,45730
37,153,Richmond County,1367,378,729,5613,18201,9702,39051,18201,6201,299,520,6201,273,13966
37,155,Robeson County,4500,1166,3511,14841,45881,34641,35362,45881,15443,659,1358,15443,1526,28886
37,157,Rockingham County,2390,1139,2026,10993,38532,16024,45697,38532,11740,514,1028,11740,585,27811
37,159,Rowan County,4044,1645,2855,17088,54137,22210,51054,54137,16418,991,1107,16418,1953,45136
37,161,Rutherford County,1805,1018,563,7128,27525,11651,43183,27525,7811,589,862,7811,787,20531
37,163,Sampson County,2072,600,2609,7715,23162,13541,42914,23162,6484,396,351,6484,960,16749
37,165,Scotland County,1134,389,307,3898,12951,8916,35936,12951,5202,86,255,5202,357,8759
37,167,Stanly County,1709,810,1111,7112,23849,7348,54104,23849,6028,70,308,6028,927,19641
37,169,Stokes County,1012,761,503,5592,19608,6129,51668,19608,4338,162,205,4338,343,14475
37,171,Surry County,1901,977,2998,7953,29001,11653,44979,29001,7926,1236,676,7926,904,19930
